attn_cue,left_ob,right_ob,congruent,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome.started,welcome.stopped,text_2.started,text_2.stopped,init_key_resp.keys,init_key_resp.rt,init_key_resp.started,init_key_resp.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,block_num,texter.started,texter.stopped,cross.started,cross.stopped,left_star.started,left_star.stopped,right_star.started,right_star.stopped,left_2.started,left_2.stopped,right_2.started,right_2.stopped,key_resp.keys,key_resp.started,key_resp.stopped,Rand Tim,text.started,text.stopped,key_resp.rt,end.started,end.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
left,1.0,0.75,1,0,0,0,0,1,0,1,0,1,2,12,2,,,,,,,,,,,,,,,5s,486.1027843267657,487.1049806079827,487.0957792880945,None,488.09665518580005,492.3379331808537,488.09665518580005,492.3379331808537,492.3290566871874,None,492.3290566871874,None,space,492.3290566871874,None,4.2347,492.8633537539281,None,0.4096276960335672,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,3,13,6,,,,,,,,,,,,,,,5s,493.9697402170859,494.9712287769653,494.96273296978325,None,495.9630255890079,496.15472706081346,495.9630255890079,496.15472706081346,496.14581937203184,497.1465936107561,496.14581937203184,497.1465936107561,None,496.14581937203184,497.1465936107561,0.1885,497.2780472501181,None,,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,1,4,14,5,,,,,,,,,,,,,,,5s,498.3699508779682,499.37175634503365,499.35470075998455,None,500.3546692491509,501.2881250400096,500.3546692491509,501.2881250400096,501.2881250400096,None,501.2881250400096,None,space,501.2881250400096,None,0.9306,501.7786048599519,None,0.3600562340579927,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,5,15,9,,,,,,,,,,,,,,,5s,502.87023676605895,503.87167768599465,503.86352761508897,None,504.86261749779806,508.92171907192096,504.86261749779806,508.92171907192096,508.92171907192096,None,508.92171907192096,None,space,508.92171907192096,None,4.0582,509.4286880339496,None,0.37688552821055055,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,6,16,3,,,,,,,,,,,,,,,5s,510.51986124087125,511.52172265481204,511.5043436367996,None,512.5043590231799,514.0630553378724,512.5043590231799,514.0630553378724,514.0630553378724,None,514.0630553378724,None,space,514.0630553378724,None,1.5518,514.5965216010809,None,0.4105301210656762,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,1,7,17,4,,,,,,,,,,,,,,,5s,515.6948080947623,516.6967650591396,516.6803033300675,None,517.6793495458551,519.3135677701794,517.6793495458551,519.3135677701794,519.3135677701794,None,519.3135677701794,None,space,519.3135677701794,None,1.6287,519.8779995250516,None,0.433743828907609,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,1,0,1,0,1,8,18,0,,,,,,,,,,,,,,,5s,520.9697376019321,521.9717885069549,521.9633028060198,None,522.9635700131766,524.163091389928,522.9635700131766,524.163091389928,524.1553611457348,None,524.1553611457348,None,space,524.1553611457348,None,1.1942,524.7039463710971,None,0.4245709120295942,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
right,1.0,0.75,0,0,0,0,0,1,0,1,0,1,9,19,1,,,,,,,,,,,,,,,5s,525.8054201668128,526.8044681930915,526.7962957001291,None,527.7970443209633,529.4804349709302,527.7970443209633,529.4804349709302,529.4716478288174,None,529.4716478288174,None,space,529.4716478288174,None,1.6761,530.0123718068935,None,0.4110552635975182,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
left,0.75,1.0,0,0,0,0,0,2,0,2,0,0,0,0,2,,,,,,,,,530.904284437187,None,530.904284437187,None,530.904284437187,None,10s,534.4042581347749,535.4053197349422,535.3971072831191,None,536.3962012799457,543.722174835857,536.3962012799457,543.722174835857,543.7131102369167,None,543.7131102369167,None,space,543.7131102369167,None,7.3205,544.2455713199452,None,0.40101863630115986,,,,,,,DEC024,001,2022_Dec_02_1535,2-25_cond_decay_EYE-try,2021.2.3,119.84302726361179,
